Code,Long Name,Income Group,Region,Lending category,Other groups,Currency Unit,Latest population census,Latest household survey,Special Notes,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,Alternative conversion factor,PPP survey years,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data,2-alpha code,WB-2 code,Table Name,Short Name
IDN,Republic of Indonesia,Lower middle income,East Asia & Pacific,IBRD,,Indonesian rupiah,2020 (expected),"Demographic and Health Survey, 2017; Indonesia Young Adult Reproductive Health Survey , 2017",Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted.,2010,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2017",,2013,2013,2018,2000,ID,ID,Indonesia,Indonesia
IRN,Islamic Republic of Iran,Lower middle income,Middle East & North Africa,IBRD,,Iranian rial,2016,"Iran’s Multiple Indicator Demographic and Health Survey, 2010",Fiscal year end: March 20; reporting period for national accounts data: FY.,2011/2012,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),1980–2002,,BPM5 (Converted into BPM6 by IMF),Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2016",Yes,2014,2014,2017,,IR,IR,"Iran, Islamic Rep.",Iran
IRQ,Republic of Iraq,Upper middle income,Middle East & North Africa,IBRD,,Iraqi dinar,1997,"Multiple Indicator Cluster Survey, 2018",,2007,,Country uses the 1968 System of National Accounts methodology,Value added at producer prices (VAP),"1997, 2004",2011,BPM6,,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2012",,2011-2012,2011,2014,2000,IQ,IQ,Iraq,Iraq
IRL,Ireland,High income,Europe & Central Asia,,Euro area,Euro,2016,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Income survey (IS), 2015",Yes,2010,2012,2018,2009,IE,IE,Ireland,Ireland
ITA,Italian Republic,High income,Europe & Central Asia,,Euro area,Euro,"2012. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Income survey (IS), 2015",Yes,2010,2014,2018,2008,IT,IT,Italy,Italy
JAM,Jamaica,Upper middle income,Latin America & Caribbean,IBRD,,Jamaican dollar,2011,"Multiple Indicator Cluster Survey, 2011",,2007,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Living Standards Measurement Study Survey (LSMS), 2012",,2007,1996,2017,2007,JM,JM,Jamaica,Jamaica
JPN,Japan,High income,East Asia & Pacific,,,Japanese yen,2020 (expected),,Fiscal year end: March 31; reporting period for national accounts data: CY.,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Integrated household survey (IHS), 2008",Yes,2010,2012,2018,2009,JP,JP,Japan,Japan
JOR,Hashemite Kingdom of Jordan,Upper middle income,Middle East & North Africa,IBRD,,Jordanian dinar,2015,"Demographic and Health Survey, 2017/18",,2016,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2010",,2007,2013,2018,2005,JO,JO,Jordan,Jordan
KAZ,Republic of Kazakhstan,Upper middle income,Europe & Central Asia,IBRD,,Kazakh tenge,2020 (expected),"Multiple Indicator Cluster Survey, 2015",,Original chained constant price data are rescaled.,2005,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),1987–95,2011,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2017",,2006-2007,2013,2018,2010,KZ,KZ,Kazakhstan,Kazakhstan
KEN,Republic of Kenya,Lower middle income,Sub-Saharan Africa,Blend,,Kenyan shilling,2009,"Malaria Indicator Survey, 2020",Fiscal year end: June 30; reporting period for national accounts data: CY.,2009,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2015/16",,,2013,2018,2010,KE,KE,Kenya,Kenya
KOR,Republic of Korea,High income,East Asia & Pacific,,,Korean won,2020 (expected),,,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2012",Yes,"2010, 2015",2014,2018,2005,KR,KR,"Korea, Rep.",Korea
KWT,State of Kuwait,High income,Middle East & North Africa,,,Kuwaiti dinar,2020 (expected),"Family Health Survey, 1996",,2010,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),,Yes,,2013,2018,2002,KW,KW,Kuwait,Kuwait
KGZ,Kyrgyz Republic,Lower middle income,Europe & Central Asia,IDA,HIPC,Kyrgyz som,2020 (expected),"Multiple Indicator Cluster Survey, 2018",,Original chained constant price data are rescaled.,2010,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),1990–95,2011,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2015",Yes,,2012,2018,2006,KG,KG,Kyrgyz Republic,Kyrgyz Republic
LAO,Lao People's Democratic Republic,Lower middle income,East Asia & Pacific,IDA,,Lao kip,2015,"Multiple Indicator Cluster Survey, 2017",,2012,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Estimate,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2012",,2010-2011,1999,2016,2005,LA,LA,Lao PDR,Lao PDR
LVA,Republic of Latvia,High income,Europe & Central Asia,,Euro area,Euro,"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.","World Health Survey, 2003","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2014: 1 euro = 0.702804 Latvian lats. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. Based on data from EUROSTAT, the new reference year is 2010.",Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),1987–95,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Income survey (IS), 2015",Yes,2010,2013,2018,2013,LV,LV,Latvia,Latvia
LBN,Lebanese Republic,Upper middle income,Middle East & North Africa,IBRD,,Lebanese pound,1943,"Family Health Survey, 2004",,2010,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2011/12",Yes,2010,2007,2018,2005,LB,LB,Lebanon,Lebanon
LSO,Kingdom of Lesotho,Lower middle income,Sub-Saharan Africa,IDA,,Lesotho loti,2016,"Multiple Indicator Cluster Survey, 2018",Fiscal year end: March 31; reporting period for national accounts data: CY.,2012,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2010",,2010,1985,2017,,LS,LS,Lesotho,Lesotho
LBR,Republic of Liberia,Low income,Sub-Saharan Africa,IDA,HIPC,U.S. dollar,2020 (expected),"Demographic and Health Survey, 2019/20",Pre-2000 data will be revised further for consistency and quality purpose.,1992,,Country uses the 2008 System of National Accounts methodology,Value added at producer prices (VAP),,2011,BPM6,Actual,,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2014",,,,,2000,LR,LR,Liberia,Liberia
LTU,Republic of Lithuania,High income,Europe & Central Asia,,Euro area,Euro,"2020 (expected). Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2015: 1 euro = 3.45280 Lithuanian litas. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. Based on data from EUROSTAT, the new reference year is 2010.",Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),1990–95,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Income survey (IS), 2015",Yes,2010,2014,2018,2011,LT,LT,Lithuania,Lithuania
LUX,Grand Duchy of Luxembourg,High income,Europe & Central Asia,,Euro area,Euro,2011,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Income survey (IS), 2015",Yes,2010,2013,2018,2013,LU,LU,Luxembourg,Luxembourg
MDG,Republic of Madagascar,Low income,Sub-Saharan Africa,IDA,HIPC,Malagasy ariary,2018,"Demographic and Health Survey, 2021",,2007,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Priority survey (PS), 2012",,,2006,2018,2000,MG,MG,Madagascar,Madagascar
MWI,Republic of Malawi,Low income,Sub-Saharan Africa,IDA,HIPC,Malawi kwacha,2018,"Fifth Integrated Household Survey 2019-2020; Multiple Indicator Cluster Survey, 2019/20",,2017,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2016",,2006-2007,2012,2017,2005,MW,MW,Malawi,Malawi
MYS,Malaysia,Upper middle income,East Asia & Pacific,IBRD,,Malaysian ringgit,2020 (expected),"World Health Survey, 2003",,2015,,Country uses the 2008 System of National Accounts methodology,Value added at producer prices (VAP),,2011,BPM6,,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Income survey (IS), 2015",Yes,"2015. Economic Census, Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.",2012,2018,2005,MY,MY,Malaysia,Malaysia
